date,week,weekday,month,count,burnt_area_km2
2020-02-09,32,Sun,Feb 2020,3.0,0.0
2020-02-10,33,Mon,Feb 2020,6.0,5.4
2020-02-11,33,Tue,Feb 2020,7.0,96.6
2020-02-12,33,Wed,Feb 2020,50.0,11.4
2020-02-13,33,Thu,Feb 2020,6.0,0.0
2020-02-14,33,Fri,Feb 2020,5.0,1.7
2020-02-15,33,Sat,Feb 2020,3.0,8.6
2020-02-16,33,Sun,Feb 2020,3.0,0.1
2020-02-17,34,Mon,Feb 2020,5.0,6.1
2020-02-18,34,Tue,Feb 2020,4.0,5.7
2020-02-19,34,Wed,Feb 2020,6.0,3.8
2020-02-20,34,Thu,Feb 2020,7.0,63.3
2020-02-21,34,Fri,Feb 2020,2.0,0.9
2020-02-22,34,Sat,Feb 2020,3.0,0.3
2020-02-23,34,Sun,Feb 2020,3.0,0.0
2020-02-24,35,Mon,Feb 2020,5.0,0.0
2020-02-25,35,Tue,Feb 2020,4.0,0.0
2020-02-26,35,Wed,Feb 2020,9.0,0.1
2020-02-27,35,Thu,Feb 2020,5.0,879.4
2020-02-28,35,Fri,Feb 2020,12.0,0.0
2020-02-29,35,Sat,Feb 2020,13.0,37.2
2020-03-01,35,Sun,Mar 2020,5.0,22.4
2020-03-02,36,Mon,Mar 2020,3.0,0.2
2020-03-03,36,Tue,Mar 2020,7.0,8.5
2020-03-04,36,Wed,Mar 2020,6.0,1.6
2020-03-05,36,Thu,Mar 2020,0.0,0.1
2020-03-06,36,Fri,Mar 2020,1.0,0.0
2020-03-07,36,Sat,Mar 2020,2.0,0.0
2020-03-08,36,Sun,Mar 2020,3.0,0.9
2020-03-09,37,Mon,Mar 2020,5.0,9.4
2020-03-10,37,Tue,Mar 2020,9.0,13.9
2020-03-11,37,Wed,Mar 2020,50.0,45.7
2020-03-12,37,Thu,Mar 2020,3.0,1.0
2020-03-13,37,Fri,Mar 2020,2.0,0.0
2020-03-14,37,Sat,Mar 2020,2.0,0.0
2020-03-15,37,Sun,Mar 2020,6.0,5.9
2020-03-16,38,Mon,Mar 2020,9.0,86.5
2020-03-17,38,Tue,Mar 2020,9.0,74.4
2020-03-18,38,Wed,Mar 2020,2.0,18.0
2020-03-19,38,Thu,Mar 2020,3.0,22.9
2020-03-20,38,Fri,Mar 2020,2.0,378.9
2020-03-21,38,Sat,Mar 2020,7.0,2.1
2020-03-22,38,Sun,Mar 2020,1.0,0.0
2020-03-23,39,Mon,Mar 2020,9.0,16.6
2020-03-24,39,Tue,Mar 2020,264.0,23.3
2020-03-25,39,Wed,Mar 2020,14.0,14.4
2020-03-26,39,Thu,Mar 2020,60.0,63.8
2020-03-27,39,Fri,Mar 2020,16.0,12.0
2020-03-28,39,Sat,Mar 2020,9.0,16.1
2020-03-29,39,Sun,Mar 2020,3.0,2.0
2020-03-30,40,Mon,Mar 2020,5.0,0.3
2020-03-31,40,Tue,Mar 2020,16.0,69.4
